budget,usbox,rrating
97000000,77730500,1
60000000,77906816,1
75000000,78000000,0
70000000,78120196,1
90000000,78616689,0
27000000,79200000,0
30000000,79576189,0
150000000,79700000,0
66000000,79900000,0
50000000,79957634,0
50000000,80000000,0
25000000,80000000,0
60000000,80000000,0
25000000,80048433,0
32000000,80197993,0
20000000,80209692,0
10000000,80238724,1
80000000,80400000,0
13000000,80571655,1
60000000,80600000,0
30000000,81001787,0
35000000,81159365,0
20000000,81261177,0
100000000,81600000,0
40000000,81612565,0
54000000,81676888,1
150000000,82195215,0
80000000,82226474,0
43000000,82600000,1
25000000,82622655,1
75000000,82914244,0
135000000,83000000,0
35000000,83200000,0
145000000,83300000,0
75000000,83500000,1
5000000,83600000,0
150000000,83600000,0
70000000,83600000,0
25000000,83823381,1
25000000,84136909,0
50000000,84200000,0
3000000,84700000,1
100000000,85000000,1
85000000,85105259,0
30000000,85416609,0
160000000,85500000,0
38000000,85846296,0
18000000,86047227,0
5000000,87025093,1
26000000,87341380,1
42000000,88073507,0
60000000,88200225,0
45000000,88600000,0
50000000,88634237,1
50000000,88715192,0
95000000,88800000,0
38000000,88915214,1
120000000,89000000,0
215000000,89300000,0
55000000,89706988,0
30000000,90135191,1
50000000,90300000,0
58000000,90400000,0
17500000,90508336,0
60000000,90580000,0
25000000,90639088,0
22000000,90648202,0
40000000,90710620,0
200000000,90800000,0
12000000,91500000,0
37000000,92200000,1
78000000,92955420,1
115000000,93100000,1
60000000,93354918,0
25000000,93600000,1
31000000,93700000,1
135000000,93926386,0
55000000,93932896,0
40000000,93953653,0
40000000,94125426,0
40000000,95000000,0
45000000,95149435,0
100000000,95300000,1
48000000,95308367,1
80000000,95632614,1
40000000,95700000,1
18000000,96493426,0
40000000,96900000,0
100000000,97104620,1
50000000,97472056,0
55000000,98700000,0
120000000,98800000,0
70000000,98900000,1
85000000,99800000,0
65000000,100000000,1
80000000,100000000,0
20000000,100000000,1
163000000,100000000,0
60000000,100170152,1
175000000,100289690,0
30000000,100492203,0
120000000,100814328,0
32000000,101000000,1
80000000,101440743,0
45000000,101704370,0
12000000,101800948,1
15000000,102000000,1
190000000,102000000,0
175000000,102491776,0
80000000,102543518,0
80000000,103000000,0
80000000,103000000,1
145000000,103000000,0
75000000,103365956,0
79000000,104000000,0
155000000,104000000,0
5000000,104000000,1
80000000,104054514,1
60000000,104148781,0
55000000,104354205,1
105000000,104400899,0
200000000,105000000,0
50000000,105807520,0
60000000,106126012,0
90000000,107000000,1
13000000,107000000,1
55000000,107000000,0
130000000,107509799,1
100000000,108000000,0
63000000,108000000,0
95000000,108638745,1
70000000,109204945,0
26000000,109449237,1
52000000,110000000,0
45000000,110000082,0
26000000,110222438,0
15000000,110359362,0
90000000,110461307,1
120000000,111110575,1
40000000,111760631,0
103000000,112000000,1
85000000,112735375,1
125000000,113000000,0
56000000,113006880,0
7000000,114000000,1
71682975,114197520,0
30000000,114326736,0
30000000,115646235,1
120000000,115802596,0
42000000,116089678,0
41000000,116724075,1
70000000,116877597,0
100000000,117000000,1
30000000,117000000,0
200000000,117000000,0
20000000,117000000,1
85000000,117144465,0
35000000,118000000,1
75000000,118000000,0
110000000,118000000,0
68000000,118471320,0
61000000,118594548,0
100000000,118627117,0
52000000,118806699,0
75000000,118823091,0
100000000,119000000,0
6000000,119114517,1
150000000,119436770,0
29000000,119519402,0
85000000,119684970,0
78000000,120000000,0
80000000,120146040,0
170000000,120150546,0
86000000,120277854,0
70000000,120540719,1
75000000,120776832,0
17500000,121463226,1
60000000,121468960,0
135000000,123000000,0
130000000,123000000,0
80000000,124685242,0
35000000,124740460,0
100000000,124870275,0
120000000,125000000,0
30000000,125000000,0
40000000,125000000,1
90000000,125305545,0
200000000,125322469,0
85000000,125531634,0
50000000,125548685,1
130000000,126000000,1
85000000,126000000,1
160000000,126261523,0
50000000,126293452,0
150000000,126631277,0
50000000,127000000,0
76000000,127120058,0
38000000,127214072,0
80000000,128000000,1
80000000,128200012,0
18000000,128505958,1
48000000,129094024,0
15000000,130058047,1
100000000,130164645,1
120000000,131921738,0
150000000,132000000,0
21000000,132000000,1
102000000,132014112,0
137000000,132177234,0
14000000,132625043,1
20000000,132675402,0
25000000,133000000,0
75000000,133000000,0
120000000,133000000,0
150000000,133298577,1
90000000,133311000,1
150000000,133375846,0
150000000,133501348,0
35000000,134000000,1
80000000,134000000,0
75000000,134508551,1
110000000,134529403,0
137500000,134806913,0
56000000,135560942,0
445000000,136000000,1
20000000,137000000,1
82500000,137355633,0
200000000,137855863,0
42000000,138000000,1
130000000,138540870,1
40000000,138614544,0
15000000,139000000,0
65000000,139225854,0
110000000,139259759,1
45000000,140000000,0
180000000,140125968,0
200000000,141621490,0
70000000,141930000,0
110000000,143000000,0
7000000,143495265,0
90000000,144000000,0
105000000,144801023,0
105000000,145000000,0
30000000,145096820,1
160000000,146000000,0
26000000,146336178,0
85000000,148000000,0
130000000,148000000,0
100000000,148000000,0
73000000,148213377,0
27500000,148761765,1
61000000,149000000,0
130000000,149000000,0
37000000,150000000,1
40000000,150000000,1
175000000,150201498,0
85000000,154529439,0
170000000,155000000,0
85000000,155064265,0
43000000,160000000,1
95000000,161000000,0
80000000,162000000,0
125000000,163000000,0
100000000,163000000,1
40000000,163958031,0
52000000,164606800,0
150000000,165000000,0
200000000,166112167,0
102000000,167365000,0
32500000,169000000,0
25000000,170000000,0
30000000,170687518,0
78000000,170708996,0
38000000,171000000,0
65000000,171479930,1
170000000,172000000,0
85000000,176087450,0
93000000,177000000,0
140000000,177000000,0
40000000,177000000,0
150000000,177243721,0
150000000,179883157,0
150000000,180010950,0
170000000,180806128,0
150000000,181000000,0
65000000,182000000,0
72500000,183135014,0
110000000,183417150,0
135000000,187000000,0
125000000,187000000,0
103000000,187683805,1
165000000,189000000,0
200000000,191000000,0
90000000,196573705,0
85000000,198000317,0
175000000,198351526,0
204000000,200120000,0
260000000,201000000,0
190000000,202000000,0
150000000,205343774,0
170000000,206000000,0
150000000,206445654,0
150000000,206459076,0
145000000,209000000,0
90000000,209028679,0
40000000,209218368,1
125000000,210000000,0
60000000,210614939,1
63000000,213117789,0
700000000,214000000,0
125000000,214949694,0
145000000,216000000,0
165000000,217000000,0
207000000,218080025,0
50000000,219000000,1
75000000,219614612,0
180000000,223806889,0
130000000,227471070,0
70702619,227965690,0
190000000,229000000,0
132000000,234280354,0
150000000,234362462,0
215000000,235000000,0
185000000,237000000,0
165000000,238000000,0
160000000,239000000,0
250000000,241000000,0
5000000,241437427,0
60000000,244000000,0
130000000,249538952,0
69000000,252000000,0
80000000,254000000,1
29000000,255959475,0
150000000,256393010,0
150000000,257730019,0
225000000,258000000,0
92000000,261441092,0
100000000,261987880,0
230000000,262000000,0
200000000,268000000,0
100000000,273000000,0
35000000,277322503,1
110000000,281000000,0
225000000,291000000,0
120000000,292000000,0
160000000,293000000,0
175000000,293004164,0
125000000,295000000,0
296623634,296623634,0
68000000,301000000,0
250000000,301959197,0
250000000,303000000,0
200000000,304000000,0
125000000,305411224,0
150000000,309420425,0
115000000,310676740,0
200000000,312000000,0
109000000,314776170,0
185000000,317023851,0
125000000,317557891,0
186000000,318313199,0
151000000,319246193,0
160000000,322719944,0
200000000,334000000,0
258000000,336530303,0
94000000,341784377,0
195000000,352000000,0
76000000,368000000,0
200000000,373524485,0
94000000,377027325,0
115000000,380270577,0
125000000,381000000,0
150000000,398000000,0
200000000,402111870,0
139000000,403706375,0
78000000,408000000,0
200000000,409000000,0
200000000,415000000,0
130000000,425000000,0
250000000,448000000,0
185000000,533345358,0
220000000,623000000,0
237000000,760507625,0
80000000,948000000,1
110000000,954000000,1
