budget,usbox,rrating
12000000,7270000,1
2000000,7301288,0
17000000,7314027,0
1500000,7372734,1
35000000,7380000,0
35000000,7459300,0
7000000,7460000,1
30000000,7460204,1
30000000,7500000,1
27000000,7500310,0
20000000,7535331,0
15000000,7560000,1
3300000,7563397,1
5480400,7638241,1
35000000,7659747,1
30000000,7689607,0
14000000,7690000,0
18000000,7739049,1
16000000,7760000,0
15250000,7802450,1
4000000,7836393,1
38000000,7871693,0
45000000,7916887,1
12000000,7920000,1
50000000,8017917,1
35000000,8050977,1
19400000,8060487,0
3000000,8110000,1
10000000,8112414,1
15000000,8117637,0
500000,8117961,0
45000000,8130000,0
20000000,8135024,0
12000000,8138000,1
35000000,8320000,0
50000000,8355815,1
15000000,8378141,0
19000000,8402485,1
10000000,8460000,1
30000000,8535575,0
15000000,8586376,1
17000000,8665206,1
27000000,8712564,1
50000000,8742261,0
6000000,8830000,1
5000000,8886160,0
20000000,8890000,0
1000000,9015303,1
3000000,9017070,1
14500000,9030000,0
12500000,9030581,0
14000000,9040000,0
30000000,9055010,0
20000000,9109322,0
15000000,9120000,0
7000000,9176000,1
15000000,9176787,1
7000000,9176933,0
6000000,9200000,0
21000000,9208876,0
7000000,9228768,1
15000000,9237470,1
45000000,9362785,0
15000000,9396870,1
10000000,9408183,0
4000000,9427026,0
17000000,9451946,1
55000000,9480000,1
22000000,9530000,0
24000000,9640000,0
40000000,9652000,0
1000000,9700000,1
27500000,9736045,1
37500000,9793406,0
3000000,10027047,1
1000000,10047674,0
19000000,10049886,0
13000000,10095170,1
8000000,10100000,0
30000000,10100000,0
25000000,10103647,0
7800000,10130108,1
35000000,10144010,0
60000000,10166502,1
50000000,10169202,1
12000000,10198766,1
11000000,10214647,1
8000000,10273188,1
35000000,10275638,1
25000000,10300000,1
33000000,10330853,1
15000000,10411980,0
7500000,10465659,1
47000000,10500000,0
18000000,10500000,0
4000000,10525717,0
5000000,10572742,0
50000000,10700000,1
25000000,10719367,0
8000000,10823158,1
10000000,10827813,1
30000000,10900000,1
35000000,11001272,0
13000000,11003643,0
33000000,11008770,1
20000000,11036366,1
12000000,11050094,0
10500000,11052958,0
22000000,11300000,1
6000000,11400000,0
25000000,11411644,0
25000000,11500000,0
15000000,11660180,1
3000000,11718595,1
10000000,11748661,0
60000000,11803254,0
16500000,11892415,0
31000000,11900000,0
12500000,11965282,1
45000000,12000000,1
5700000,12044087,1
20000000,12100000,1
15000000,12212417,1
22000000,12234694,0
16000000,12400000,0
20000000,12482775,1
25000000,12500000,0
14000000,12559771,1
7500000,12574914,0
10000000,12578537,1
80000000,12600000,0
7000000,12634962,1
15000000,12669914,1
12000000,12685530,1
30000000,12712093,0
22000000,12784713,1
1800000,12800000,0
31000000,12800000,1
30000000,12831121,0
27000000,12834849,0
55000000,12882934,0
9400000,12899867,1
85000000,12900000,0
20000000,12987647,1
2500000,13011160,1
15000000,13043363,0
4500000,13084595,1
60000000,13090630,0
35000000,13100000,0
45000000,13100000,1
11000000,13110448,1
25000000,13139843,0
13186000,13200000,1
11000000,13200000,1
40000000,13208023,1
76000000,13235267,0
20000000,13252641,0
26000000,13261851,1
32000000,13300000,0
4000000,13337299,0
40000000,13395939,1
18000000,13400000,0
5000000,13400000,1
5000000,13542874,1
20000000,13548322,0
15600000,13571817,0
5000000,13649881,1
12500000,13684249,1
25000000,13700000,0
2000000,13700000,1
13000000,13756082,1
15000000,13800000,0
32000000,13800000,1
40000000,13869515,0
16000000,13922211,1
25000000,13973532,0
20000000,14000000,1
8000000,14018296,1
40000000,14018364,0
12500000,14060950,0
5000000,14100000,1
16000000,14108518,0
40000000,14245415,0
30000000,14334645,0
20000000,14363397,1
38557200,14400000,1
40000000,14448589,0
26000000,14469428,0
25000000,14589444,1
10000000,14600000,1
25000000,14600000,1
18000000,14800725,0
15000000,14900000,1
8500000,14943582,1
47000000,14970038,0
35000000,14998070,1
15000000,15000000,1
20000000,15000000,0
30000000,15007991,0
30000000,15051977,0
8000000,15070285,1
80000000,15074191,0
10000000,15122676,1
5000000,15200000,0
18000000,15281286,1
45000000,15298133,1
12000000,15300000,1
25000000,15331289,0
10000000,15417771,1
45000000,15500000,0
14000000,15515460,1
20000000,15543862,0
14000000,15549702,0
25000000,15567860,0
15000000,15600000,1
20000000,15712072,0
30000000,15740721,1
28000000,15800000,1
47000000,15849032,0
13500000,15901849,0
40000000,15962471,0
20000000,15988876,0
26000000,16000000,1
29000000,16007718,1
10000000,16033556,0
900000,16100000,1
12000000,16100000,0
55000000,16123323,0
23000000,16123851,0
1125000,16124543,1
16000000,16204793,1
14000000,16298046,0
12000000,16300000,1
30000000,16323969,0
16000000,16357770,0
32000000,16400000,1
10000000,16535005,0
25000000,16655224,0
17000000,16700000,1
8000000,16734283,0
45000000,16809014,0
35000000,16862585,0
38000000,16900000,1
29000000,16930185,0
30000000,16930884,1
24000000,16980098,0
20000000,16988996,0
25000000,17000000,1
30000000,17010170,1
29000000,17016190,1
100000000,17018422,0
7000000,17044981,1
33000000,17100000,1
20000000,17104669,1
35000000,17200000,1
20000000,17231291,0
30000000,17266505,0
12000000,17321573,0
