id,year,steal,female,age,black,hisp,msa,work,student,dadgone
42,1998,0,0,15,0,0,1,1,1,0
42,1999,1,0,16,0,0,1,1,1,0
42,2000,0,0,17,0,0,1,1,1,0
42,2001,0,0,18,0,0,1,1,1,0
42,2002,0,0,19,0,0,1,1,1,0
42,2003,0,0,20,0,0,1,1,1,0
44,1998,0,0,17,0,1,1,0,1,0
44,1999,0,0,18,0,1,1,0,1,0
44,2000,0,0,19,0,1,1,1,0,0
44,2001,0,0,20,0,1,1,0,1,0
44,2002,0,0,21,0,1,1,0,1,0
44,2003,0,0,22,0,1,1,1,0,0
49,1998,0,1,16,1,0,1,0,1,1
49,1999,0,1,17,1,0,1,0,1,1
49,2000,0,1,18,1,0,1,1,0,1
49,2001,0,1,19,1,0,1,1,0,1
49,2002,0,1,20,1,0,1,1,0,1
49,2003,0,1,21,1,0,1,1,0,1
51,1998,0,0,18,1,0,1,0,0,1
51,1999,0,0,19,1,0,1,1,0,1
51,2000,0,0,20,1,0,1,1,1,1
51,2001,0,0,21,1,0,1,1,1,1
51,2002,0,0,22,1,0,1,1,0,1
51,2003,0,0,23,1,0,1,1,0,1
52,1998,0,0,15,1,0,1,0,1,1
52,1999,0,0,16,1,0,1,0,1,1
52,2000,0,0,17,1,0,1,0,1,1
52,2001,0,0,18,1,0,1,0,1,1
52,2002,0,0,19,1,0,1,1,1,1
52,2003,0,0,20,1,0,1,1,0,1
53,1998,0,1,14,1,0,1,1,0,0
53,1999,0,1,15,1,0,1,1,1,0
53,2000,0,1,16,1,0,1,0,1,0
53,2001,0,1,17,1,0,1,0,0,0
53,2002,0,1,18,1,0,1,1,0,0
53,2003,0,1,19,1,0,1,1,0,0
55,1998,0,1,17,0,1,1,1,1,0
55,1999,0,1,18,0,1,1,0,1,0
55,2000,0,1,19,0,1,1,0,1,0
55,2001,0,1,20,0,1,1,0,1,0
55,2002,0,1,21,0,1,1,0,1,0
55,2003,0,1,22,0,1,1,0,1,0
56,1998,0,1,16,0,0,1,0,1,0
56,1999,0,1,17,0,0,1,1,1,0
56,2000,0,1,18,0,0,1,1,1,0
56,2001,0,1,19,0,0,1,1,1,0
56,2002,0,1,20,0,0,1,1,1,0
56,2003,0,1,21,0,0,1,1,1,0
57,1998,0,0,16,1,0,1,0,1,0
57,1999,0,0,17,1,0,1,0,1,0
57,2000,0,0,18,1,0,1,1,1,0
57,2001,0,0,19,1,0,1,1,1,0
57,2002,0,0,20,1,0,1,1,0,0
57,2003,0,0,21,1,0,1,1,0,0
58,1998,0,0,15,1,0,1,0,1,0
58,1999,0,0,16,1,0,1,1,1,0
58,2000,0,0,17,1,0,1,0,1,0
58,2001,0,0,18,1,0,1,1,1,0
58,2002,0,0,19,1,0,1,1,1,0
58,2003,0,0,20,1,0,1,0,1,0
59,1998,0,1,17,1,0,1,1,1,1
59,1999,0,1,18,1,0,1,1,1,1
59,2000,0,1,19,1,0,1,1,1,1
59,2001,0,1,20,1,0,1,1,1,1
59,2002,0,1,21,1,0,1,1,0,1
59,2003,0,1,22,1,0,1,1,0,1
60,1998,0,0,14,0,0,1,0,1,1
60,1999,0,0,15,0,0,1,0,1,1
60,2000,0,0,16,0,0,1,0,1,1
60,2001,0,0,17,0,0,1,0,1,1
60,2002,0,0,18,0,0,1,1,1,1
60,2003,0,0,19,0,0,1,1,1,1
61,1998,0,1,15,1,0,1,0,1,1
61,1999,0,1,16,1,0,1,0,1,1
61,2000,0,1,17,1,0,1,1,1,1
61,2001,0,1,18,1,0,1,1,1,1
61,2002,0,1,19,1,0,1,1,1,1
61,2003,0,1,20,1,0,1,1,1,1
65,1998,0,0,14,1,0,1,0,1,0
65,1999,0,0,15,1,0,1,1,1,0
65,2000,0,0,16,1,0,1,0,1,0
65,2001,0,0,17,1,0,1,1,1,0
65,2002,0,0,18,1,0,1,0,0,0
65,2003,0,0,19,1,0,1,1,0,0
66,1998,0,0,18,1,0,1,1,1,0
66,1999,0,0,19,1,0,1,0,1,0
66,2000,0,0,20,1,0,1,0,1,0
66,2001,0,0,21,1,0,1,1,1,0
66,2002,0,0,22,1,0,1,1,1,0
66,2003,0,0,23,1,0,1,1,1,0
67,1998,0,0,18,1,0,1,1,1,0
67,1999,0,0,19,1,0,1,0,1,0
67,2000,0,0,20,1,0,1,0,1,0
67,2001,0,0,21,1,0,1,0,1,0
67,2002,0,0,22,1,0,1,1,1,1
67,2003,0,0,23,1,0,1,1,0,0
70,1998,0,0,16,1,0,1,0,1,0
70,1999,0,0,17,1,0,1,0,1,0
70,2000,0,0,18,1,0,1,0,1,0
70,2001,0,0,19,1,0,1,1,1,0
70,2002,0,0,20,1,0,1,1,1,0
70,2003,0,0,21,1,0,1,1,1,0
71,1998,0,0,18,1,0,1,0,1,1
71,1999,0,0,19,1,0,1,0,0,0
71,2000,0,0,20,1,0,1,0,0,0
71,2001,0,0,21,1,0,1,0,0,0
71,2002,0,0,22,1,0,1,0,1,0
71,2003,0,0,23,1,0,1,0,1,0
72,1998,0,1,16,1,0,1,0,1,0
72,1999,0,1,17,1,0,1,1,1,1
72,2000,1,1,18,1,0,1,1,1,1
72,2001,0,1,19,1,0,1,1,0,1
72,2002,0,1,20,1,0,1,0,0,1
72,2003,0,1,21,1,0,1,0,0,1
73,1998,0,0,14,1,0,1,0,1,0
73,1999,1,0,15,1,0,1,1,1,1
73,2000,1,0,16,1,0,1,1,1,1
73,2001,0,0,17,1,0,1,1,1,1
73,2002,0,0,18,1,0,1,1,1,1
73,2003,0,0,19,1,0,1,1,1,1
74,1998,0,0,15,0,0,1,0,1,0
74,1999,0,0,16,0,0,1,0,1,0
74,2000,0,0,17,0,0,1,0,1,0
74,2001,0,0,18,0,0,1,0,0,0
74,2002,0,0,19,0,0,1,1,1,0
74,2003,0,0,20,0,0,1,1,1,0
75,1998,0,0,16,0,0,1,0,1,0
75,1999,0,0,17,0,0,1,0,1,0
75,2000,0,0,18,0,0,1,0,1,0
75,2001,0,0,19,0,0,1,0,1,0
75,2002,0,0,20,0,0,1,1,1,0
75,2003,0,0,21,0,0,1,0,1,0
77,1998,0,1,14,0,1,1,0,1,0
77,1999,0,1,15,0,1,1,0,1,0
77,2000,0,1,16,0,1,1,0,1,0
77,2001,0,1,17,0,1,1,0,1,0
77,2002,0,1,18,0,1,1,0,1,0
77,2003,0,1,19,0,1,1,0,1,0
78,1998,0,1,17,0,0,1,0,1,1
78,1999,0,1,18,0,0,1,0,1,1
78,2000,0,1,19,0,0,1,1,0,1
78,2001,0,1,20,0,0,1,1,0,1
78,2002,0,1,21,0,0,1,1,0,1
78,2003,0,1,22,0,0,1,1,1,1
79,1998,0,0,15,0,1,1,0,1,0
79,1999,1,0,16,0,1,1,0,1,1
79,2000,0,0,17,0,1,1,1,0,1
79,2001,0,0,18,0,1,1,1,0,1
79,2002,0,0,19,0,1,1,1,0,1
79,2003,0,0,20,0,1,1,0,0,1
81,1998,0,1,14,1,0,1,0,1,1
81,1999,0,1,15,1,0,1,0,1,1
81,2000,0,1,16,1,0,1,0,1,1
81,2001,0,1,17,1,0,1,0,0,1
81,2002,0,1,18,1,0,1,1,1,1
81,2003,0,1,19,1,0,1,1,1,1
82,1998,0,0,14,0,1,1,0,1,1
82,1999,0,0,15,0,1,1,1,1,1
82,2000,0,0,16,0,1,1,1,1,1
82,2001,0,0,17,0,1,1,1,1,1
82,2002,0,0,18,0,1,1,0,0,1
82,2003,0,0,19,0,1,1,0,1,1
83,1998,0,0,17,0,1,1,1,1,1
83,1999,0,0,18,0,1,1,1,1,1
83,2000,0,0,19,0,1,1,0,0,1
83,2001,0,0,20,0,1,1,0,1,1
83,2002,0,0,21,0,1,1,0,0,1
83,2003,0,0,22,0,1,1,0,1,1
84,1998,0,1,14,0,1,1,1,1,1
84,1999,0,1,15,0,1,1,1,1,1
84,2000,0,1,16,0,1,1,0,1,1
84,2001,0,1,17,0,1,1,1,1,1
84,2002,0,1,18,0,1,1,1,0,1
84,2003,0,1,19,0,1,1,0,0,1
88,1998,0,0,17,0,0,1,0,1,0
88,1999,0,0,18,0,0,1,1,1,0
88,2000,0,0,19,0,0,1,1,1,0
88,2001,0,0,20,0,0,1,1,0,0
88,2002,0,0,21,0,0,1,0,0,0
88,2003,0,0,22,0,0,1,1,0,0
89,1998,0,0,17,0,0,1,1,1,0
89,1999,0,0,18,0,0,1,0,1,0
89,2000,0,0,19,0,0,1,0,1,0
89,2001,0,0,20,0,0,1,1,1,0
89,2002,0,0,21,0,0,1,1,1,0
89,2003,0,0,22,0,0,1,1,0,0
90,1998,0,0,17,0,1,1,0,1,0
90,1999,0,0,18,0,1,1,1,1,0
90,2000,1,0,19,0,1,1,1,0,0
90,2001,1,0,20,0,1,1,1,0,0
90,2002,0,0,21,0,1,1,1,0,0
90,2003,0,0,22,0,1,1,1,0,0
91,1998,0,1,16,0,1,1,0,1,0
91,1999,0,1,17,0,1,1,0,1,0
91,2000,0,1,18,0,1,1,0,0,0
91,2001,0,1,19,0,1,1,1,1,0
91,2002,0,1,20,0,1,1,0,1,0
91,2003,0,1,21,0,1,1,0,1,0
92,1998,0,0,15,0,0,1,0,1,0
92,1999,0,0,16,0,0,1,0,1,0
92,2000,0,0,17,0,0,1,0,1,0
92,2001,0,0,18,0,0,1,0,1,0
92,2002,0,0,19,0,0,1,1,1,0
92,2003,0,0,20,0,0,1,1,1,0
97,1998,0,0,18,0,1,1,0,1,0
97,1999,0,0,19,0,1,1,1,1,0
97,2000,0,0,20,0,1,1,1,1,0
97,2001,0,0,21,0,1,1,0,1,0
97,2002,0,0,22,0,1,1,0,1,0
97,2003,0,0,23,0,1,1,1,0,0
99,1998,0,0,16,0,1,1,1,1,1
99,1999,0,0,17,0,1,1,1,1,1
99,2000,0,0,18,0,1,1,1,1,1
99,2001,0,0,19,0,1,1,1,0,1
99,2002,0,0,20,0,1,1,1,1,1
99,2003,0,0,21,0,1,1,1,0,1
104,1998,1,1,18,0,0,1,1,1,0
104,1999,0,1,19,0,0,1,1,1,0
104,2000,1,1,20,0,0,1,1,1,0
104,2001,1,1,21,0,0,1,1,1,0
104,2002,1,1,22,0,0,1,1,0,0
104,2003,0,1,23,0,0,1,1,0,0
105,1998,1,0,15,0,0,1,1,1,0
105,1999,1,0,16,0,0,1,1,1,0
105,2000,1,0,17,0,0,1,1,1,0
105,2001,0,0,18,0,0,1,1,1,0
105,2002,0,0,19,0,0,1,1,0,0
105,2003,0,0,20,0,0,1,1,0,0
107,1998,0,1,16,0,0,1,1,1,0
107,1999,0,1,17,0,0,1,1,1,0
107,2000,0,1,18,0,0,1,1,1,0
107,2001,0,1,19,0,0,1,1,1,0
107,2002,0,1,20,0,0,1,1,1,0
107,2003,0,1,21,0,0,1,1,1,0
108,1998,0,0,14,0,0,1,0,1,0
108,1999,0,0,15,0,0,1,0,1,0
108,2000,0,0,16,0,0,1,0,1,0
108,2001,0,0,17,0,0,1,1,1,0
108,2002,0,0,18,0,0,1,0,1,0
108,2003,0,0,19,0,0,1,0,1,0
109,1998,0,1,16,0,0,1,0,1,0
109,1999,0,1,17,0,0,1,1,1,0
109,2000,0,1,18,0,0,1,1,1,0
109,2001,0,1,19,0,0,1,1,1,0
109,2002,0,1,20,0,0,1,1,1,0
109,2003,0,1,21,0,0,1,1,1,0
